id;nombres;apellidos;correo;nro_celular;fechacontrato;salario;comision_porcentaje
1;but inside;engage slather now;um procurement greedily;phew schematise;2026-03-12T15:35:55;30016;9436
2;once um down;ouch;more;volunteer;2026-03-12T13:05:55;1968;29295
3;saturate emotional;home;impressive;astonishing;2026-03-12T13:08:45;1985;20466
4;gadzooks gah moralise;smart horst um;amount;bare provided mechanically;2026-03-12T08:34:25;2329;8344
5;governance;plus;elevator um;telescope;2026-03-12T16:44:47;27350;22861
6;pike even;cultivated regular beyond;league;bitterly home nor;2026-03-12T12:04:59;17322;16101
7;for youthfully boo;palate over;absentmindedly;uh-huh;2026-03-12T17:33:33;20162;24228
8;ugh;imaginative reopen;hydrolyze;blah regularly weep;2026-03-12T22:04:06;10381;1210
9;helpfully;woot flu part;once;plait frantically disinherit;2026-03-12T08:39:54;6283;19396
10;boohoo intent;dispense madly hurtful;amongst;upon opposite dial;2026-03-12T20:08:41;9429;23294
